,edit_history_tweet_ids,id,text
0,['1470416289118269448'],1470416289118269448,@Kristian_Jensen Ret usmageligt . Egentligt. Den havde nok været bedre at vise klasse og holde for sig selv
1,['1470415581602004997'],1470415581602004997,"@KHegaard Altså lidt som da minkerhvervet blev lukket og beslutningen fastholdt. Selv efter at manglende hjemmel blev fastslået. Glæder mig til at se de Radikale gøre som de prædiker. For lovbruddet er fastslået, pressemødet afholdt og stadig intet sket"
2,['1470375463210082308'],1470375463210082308,"@RosaLundEl Ja det lyder da spændende, at en pressemeddelelse er ansvarspådragende som minister.
Er tv-transmitterede pressemøder det så i @Enhedslisten optik så også? #dkpol"
3,['1470366213826043904'],1470366213826043904,@SikandaSIDDIQUE @dkpolparrot Uanset hvordan man vender det. Så viser den kommentar 1 minut efter en kollega er dømt fængsel. Desværre med al tydelighed at du lin ven er et ringe menneske #dkpol
4,['1470309941445632003'],1470309941445632003,"@RosaLundEl @dkpolparrot Seriøst😊 Så hvis man har begået en ulovlighed og løjet for folketinget. Så skal man for en rigsret ifølge @Enhedslisten 
Det er et fair synspunkt. Som naturligvis er lidt problematisk for regeringen. Eller for jer afhængigt af hvordan man ser det."
5,['1469941139147051008'],1469941139147051008,@ProfJLundgren Tak for indlægget. Spørgsmål. Ville immunforsvaret stå stærkere efter dobbelt vaccination og så en eventuel “rigtig” smitte?
6,['1469672578130366466'],1469672578130366466,"@pelledragsted Ikke helt vel. Hvis I ikke accepterede det. Så havde S ikke en finanslov.
Så jo, I valgte at være med og så må I jo også stå ved at I er medvirkende til den fattigdom du giver S skylden for. Så enkelt er det"
7,['1469670780657094667'],1469670780657094667,"@pelledragsted I har lige stået og fejret en finanslov? Så er det vel også jeres valg. Men selvfølgelig en ubekvem sandhed for Enhedslisten at stå på mål for,
ikke"
8,['1469623649502216199'],1469623649502216199,@TroelsHalken @RasmusPrehn @DTUtweet Ka lad os indføre det i regeringskontorerne
9,['1469623135146291206'],1469623135146291206,"@RasmusPrehn @DTUtweet Ok. Procenterne virker da voldsomt. Men hvor mange torsk taler vi om. 10, 50. 1000?? Og hvor mange torsk æder skarver og sæler så i det samme tidsrum.
For det har du som minister vel styr på. INDEN du en gang til vil blame fiskerne. #dkpol"
10,['1469261701858177027'],1469261701858177027,@Chris_Bjerknaes God weekend
11,['1469148597451116547'],1469148597451116547,"@Jesper_Pet @BenjaminElberth @JeppeBruus @PHummelgaard Hvor er det sødt. 3 socialdemokrater i vild panik. Som lige vil forklare en mand der lever af kommunikation, at han ikke ved hvad han snakker om. Stop nu. Hold jer til den sædvanlige taktik. Den hvor I ikke kan huske noget. Så dummer i jer da mindre. Jesper du ved @DebattenDR2"
12,['1468987541277839370'],1468987541277839370,@TomJensen1966 Fordi manden agerer politisk i sine udtalelser. End of story. Og det er egentligt skræmmende i forhold til tilliden til myndighederne ikke?
13,['1468987154315583491'],1468987154315583491,@QvortrupHenrik .@QvortrupHenrik jeg bed mere mærke i den lidt kryptiske udmelding om indlagte med Omikron der er syv indlagte. Pause… en del er smitte op hospitalet. Ok hvor mange er indlagt pga Omikron??
14,['1468965601422888972'],1468965601422888972,"@KristianMadsen Ret mig hvis jeg tager fejl @KristianMadsen . Men er hele STM forsvar ikke, at hun ikke havde tid til at læse sit cover. Og det har vel aldrig fritaget nogen fra at følge loven før?"
15,['1468951784563482627'],1468951784563482627,"@PiaOlsen En god fælles løsning var vel i stoppede med at holde hånden over en regering som har indrømmet de brød loven?
Jeg ser frem til I tager jeres ansvar"
16,['1468065331390341126'],1468065331390341126,"@Frede_Vad @SorenPape Det er det heller ikke. Men så skal I nok lige kalde det hvad det er. Et forligsbrud vedr. pensionsalder.
For så er det vel blot en sænkning af pensionsalderen for socialdemokratiske kernevælgere."
17,['1467885109802160135'],1467885109802160135,"@Plidderpludder1 @pederhvelplund @de Så de er ude af stand til at få skrant penge sammen til et årligt eftersyn?
Stop dog. Hvordan er det lige at sunde og raske mennesker i 18 til 21 års alderen er dem der ikke kan spare op? De fejler vel ret beset ikke noget. Mon ikke de 600 kr kan findes."
18,['1467880712766476295'],1467880712766476295,"@Plidderpludder1 @pederhvelplund @de Det er en gruppe der som 18 årige har de sundeste og mest kontrollerede tænder i hele landet. Mener man at de mangler penge til at betale deres regninger
Så burde man sænke skatten i bunden i stedet for at købe stemmer for andres penge"
19,['1467831147308670976'],1467831147308670976,@pederhvelplund Ja for dem som har absolut mindst at bruge tandpleje til er dem som alllerede har haft den “gratis” hele livet. Men de stemmer vel liste Ø. Så sparer i hellere på@de ældre kan man se
20,['1467426683737231364'],1467426683737231364,"Trawlfri zone? Det hedder vel nærmere død over fiskeriet i store dele af de indenlandske farvande. Men så kan de “hellige” jo også nemmere pege fingre af andre. Alt imens de rigtige problemer. Menneskelig udledning, skarver og sæler får lov at fortsætte. #dkpol"
21,['1466769753318604805'],1466769753318604805,"@deviralenyheder Tja. Det kan også være flagermus, rotter. Ja ret mange forskellige dyr. Men mon ikke svaret om mink kommer fordi han blev spurgt om det kunne være mink? Hvor mange mink lever forøvrigt i Botswana ?"
22,['1466769296621813769'],1466769296621813769,"@Frede_Vad Slidte? Kan du ikke lige fortælle mig hvor der står i præmissen for tidlig pension, at man skal være nedslidt?"
23,['1465940782582480896'],1465940782582480896,"@JeppeBruus @dkpolparrot @RasmusJarlov @L4rsErSej Sjovt du lige vil forsøge den vej.
Minkavlen i Danmark var bygget op på kvaliteten af dyrene.
Derfor er det de facto permanent når I slagter avlsdyrene.
Eller har I sikret at linjerne kan fremskaffes igen? #dkpol #sdigterhistorier"
24,['1465725021540732935'],1465725021540732935,"@lisnorgaard @RStoklund @dkpolparrot Tja. Men staten mente åbenbaret de skulle tage deres ejendom og så betaler man sin regning.
Du kan læse mere om det i grundloven"
25,['1465701302416003072'],1465701302416003072,"@RStoklund @dkpolparrot Vi er også nogen der mener, at det var lovbruddet der er problemet. Åhh ja. Og så det faktum at I stadig ikke har betalt fuld og hel erstatning for jeres brøde. 17 milliarder skylder i vist ca endnu"
26,['1465524383166914563'],1465524383166914563,@RStoklund @venstredk Nemt spørgsmål. Hvor betydelig? #dkpol
27,['1464879376101789702'],1464879376101789702,@RosaLundEl @dkpolparrot @vansterpartiet Mit skud er i “følger med” til engang slut 2022 start 2023. Altså lige indtil der skulle være valg alligevel. Jeres “søsterparti” har en ting I mangler. Mod til at følge sin egen politik
