,edit_history_tweet_ids,id,text
0,['1563188099060224006'],1563188099060224006,RT @FrejKofoed: Kommissionsformanden siger 'tal med pigerne' som argument for et tørklædeforbud. Men kommissionen har slet ikke talt med én…
1,['1563188033637138432'],1563188033637138432,"hvorfor insisterer regeringen på at det handler om at folk ikke tør anmelde når justitsministeriets undersøgelse viser at det er nogle helt andre problemer?
#dkpol https://t.co/wWj9WOwI5w"
2,['1562875866161750017'],1562875866161750017,"RT @pederhvelplund: Paradoksalt at en kritik af magtfuldkommenhed manifesteres af en konstant higen efter magt!
Magt går åbenlyst forud for…"
3,['1562875796842496003'],1562875796842496003,@JensMikkelsen11 @ElabassiHalima Ja.
4,['1562872657548558337'],1562872657548558337,Eller måske blå før grøn? #dkpol https://t.co/fBioizruJw
5,['1562871965920010245'],1562871965920010245,@stinuslindgreen @MirRou64 @sofiecn Ej forkert link. Sorry @stinuslindgreen
6,['1562852409042677763'],1562852409042677763,@sofiecn  er det også et ultimativt krav til en blå regering at de ikke må åbne er asylcenter i Rwanda? https://t.co/fBioizruJw
7,['1562701475456770048'],1562701475456770048,"@ElabassiHalima Bedre forældre samarbejde i skolen, oplysning om rettigheder til pigerne, efteruddannelse til lærere og pædagoger. Jeg tror desværre at jeres forslag vil have den modsatte effekt end det er tiltænkt - nemlig at pigerne vil blive tager ud af skolen"
8,['1562699466326835201'],1562699466326835201,Hvordan kan det være at hver gang vi snakker om at bekæmpe negativ social kontrol så er der nogen der vil fratage rettigheder fra de piger og kvinder der er udsat for det? Lad os nu for helvede sikrer FLERE RETTIGHEDER til piger og kvinder #dkpol
9,['1562057635708403712'],1562057635708403712,RT @JohnNordboCARE: Tak til @RosaLundEl for at være klar i mælet: Danmark skal leve op til forpligtelsen om at give 5 milliarder kr i klima…
10,['1562057551444951040'],1562057551444951040,"@m_merstrand også der hvor jeg bor, så jeg er bestemt ikke blind for at der også er integrationsproblemer, men måske har vi ikke løst bandeprobemerne netop fordi det ses som et ""udlædningeproblem""  2/3 af de danske banderegister er dk statsborgere"
