,edit_history_tweet_ids,id,text
0,['1182566665990627334'],1182566665990627334,"Virkelig god nyhed, og meget betryggende, at Peter Birch Sørensen, der blev fyret som formand for Klimarådet af den tidligere regering, fordi han var for fagligt dygtig og seriøs, nu skal stå i spidsen for @Finansmin nye regnemaskine #dkpol #dkgreen https://t.co/tVTPUWiWM8"
1,['1181923150566711296'],1181923150566711296,Wellcome to #C40Summit and all the  94 committed mayors from around the world! We are proud to host you and we count on your willingness to work for concrete climate change and sustainability https://t.co/LQMu7gWoxk
2,['1181846903635562496'],1181846903635562496,Første forsøg på en samlet vurdering af klimaforandringernes betydning for DK fra @CARE_Danmark &amp; EY. Både de direkte fysiske konsekvenser - og de indirekte i form af svækket handel og økonomi globalt set. Skræmmende &amp; motiverende læsning: Vi skal bare i gang med den omstilling. https://t.co/YPNjw4HRn3
3,['1181542244765044736'],1181542244765044736,"Vi fik ikke et politisk systemskifte efter valget den 5. juni, kun et skifte. Desværre. Dansk politik står alt for stille, når vi betænker de udfordringer, som den danske model står overfor. Læs min seneste klumme og del gerne. #dkpol https://t.co/veTdbZOl4f"
4,['1181247168939773955'],1181247168939773955,Udenrigspolitisk Nævn hasteindkaldt onsdag 13.30. Anledningen er Trumps udmelding om amerikansk rømning af det nordøstlige Syrien og Erdogans annoncering af at ville overtage samme. Uoverskuelige perspektiver for kurderne og bekæmpelsen af ISIL #dkpol https://t.co/Wi7IjJB7VT
5,['1181165756509233152'],1181165756509233152,"Rimelig rystende melding fra Trump: USA overlader nordlige Syrien til Tyrkiet, tilsyneladende uden høring af allierede. Et kæmpe svigt af kurderne med uoverskuelige følger for end game i Syrien og håndtering af tilfangetagne Syrienskrigere #dkpol https://t.co/45n5y8unQr"
6,['1180074372607942656'],1180074372607942656,Vigtig dag i Udenrigspolitisk Nævn. Enighed ml alle partier og regering om at forbedre grundlaget for danske missioner på baggrund af krigsudredningen. Første skridt fælles forespørgselsdebat m forhåbentlig fælles vedtagelse om fremtidens beslutningsgrundlag #dkpol
7,['1179713261203345408'],1179713261203345408,Stort tillykke til @rohde_jens med sin første tjans i formandsstolen 😃😎🇩🇰 #dkpol https://t.co/RCZVUdTYDp
8,['1179410980419317760'],1179410980419317760,50.000 borgere skrev i sin tid under på at afskaffe det fuldstændig absurde uddannelsesloft - og bagefter bakkede stort set alle partier op. Også S. Hvordan hulen kan man så fremlægge sin første finanslov uden at gøre det???? #dkpol https://t.co/Xz3kLdc729
9,['1179275542232735748'],1179275542232735748,"RT @raesondk: De lange linjer i dansk udenrigspolitik. RÆSON AFTEN mandag 6/1 2020 med Mogens Lykketoft, Martin Lidegaard, Søren Espersen,…"
10,['1178744969475035137'],1178744969475035137,"Det var en uskik at nedlægge Irakkommissionen - og derfor også en uskik ikke at genåbne den. Som minimum bør må behandlingen af irakiske krigsfanger kortlægges, det har Krigsudredningen slet ikke kigget på #dkpol https://t.co/YNC76HmcoB"
11,['1177220977471758338'],1177220977471758338,"Velkommen til @larsloekke i Udenrigspolitisk Nævn! Glæder mig til samarbejdet. Sjældent været vigtigere at drøfte muligheder, udfordringer og strategi for dansk udenrigspolitik mellem alle partier og henover Midten #dkpol https://t.co/cvB007hvQq"
12,['1176844741750808576'],1176844741750808576,"Tiden kalder på en fornyelse af vores forhold til USA. Med færre militære eventyr og en mere selvstændig tilgang, så vi både bliver en bedre allieret og kan holde USA fast på klima, handel og multilateral verdensorden. Læs mere og del gerne #dkpol #dkgreen https://t.co/y9hU2PVwsu"
13,['1176457180515577856'],1176457180515577856,"Hvor ender Brexit nu? Hvor ender UK? Og hvor ender Europa? Bliv klogere på det hele på fredag, hvor jeg har inviteret den britiske ambassadør til en kold øl i den varme stol #dkpol https://t.co/rmib49HoLC"
14,['1174897604972298240'],1174897604972298240,"Tak for vigtig og kærkommen melding fra DF, også selvom det selvfølgelig er reduktioner i DK, der tæller. Er der mon nogen, der pt har tid til også at tænke på verdens klima i @venstredk, @JakobEllemann? #dkpol #dkgreen https://t.co/V3GEaaFIks"
15,['1173867603422580736'],1173867603422580736,"Bravo @SorenPape! Så afgørende for både klimaet og dansk erhvervsliv, at vi mødes på Midten og får brede forlig på dette område. Håber landbruget også vil overbevise @venstredk og @aahlers om det samme #dkgreen #dkpol https://t.co/MSM56moz8m"
16,['1173516819132551168'],1173516819132551168,"Tak til @DanskIndustri for stærk, grøn 2030-plan, der bakker op om 70% CO2 reduktion. Ikke mange erhvervsliv i verden, der ville gøre det, men helt afgørende at have danske virksomheder, deres innovation og investeringer med #dkpol #dkgreen https://t.co/OfM3eJqFoA"
17,['1172783935027392512'],1172783935027392512,Godt @DanskDf1995 &amp; @MrMesserschmidt endelig melder sig i klimakampen og rigtigt set m brug for flere klimamidler i bistanden. Men det skal være nye midler. Giver ingen mening at kannibalisere på humanitær bistand og fattigdomsbekæmpelse #dkaid #dkpol https://t.co/NtfKwohqDJ
18,['1172443152566767616'],1172443152566767616,"Kloge ord fra Nauja Lynge, lad os fokusere på fællesskabet i Rigsfællesskabet og alle de muligheder vi har sammen!  #dkpol https://t.co/ruoVHPn9CL"
19,['1171389257711345666'],1171389257711345666,"Tillykke, @vestager og god vind. Så vigtigt og så fortjent! #dkpol https://t.co/fFM0KkLiv8"
20,['1171000116284678144'],1171000116284678144,Interessant. Putins parti taber massivt ved lokalvalg i Moskva trods snyd og trynen af modstandere. Måske håb om en ny udvikling for det hårdt prøvede russiske folk? #dkpol https://t.co/JJgSBLVRXv
21,['1168750357725503490'],1168750357725503490,"@anderspuck @Trinebramsen Blandt de fem lande, der leverer mest økonomisk per indbygger og også blandt de bedste ift deltagelse i missioner."
22,['1168749993869660161'],1168749993869660161,@BosseStine @Trinebramsen @EuropaBev Lige præcis!
23,['1168746067627786240'],1168746067627786240,"Besynderlig melding fra @Trinebramsen. DK leverer i forvejen i top i NATO og flere danske militære bidrag kan ikke være et mål i sig selv, men må nøje overvejes og vurderes fra sag til sag. I stedet bør DK skrue op for forebyggelse og stabilisering. #dkpol https://t.co/hwlqpmci26"
24,['1167016786891563015'],1167016786891563015,"Trist. Og hvor er det utroligt, at et af verdens rigeste lande ikke er i stand til at gøre det bedre, når det gælder den kollektive trafik.
Det SKAL der ændres på! #dkpol https://t.co/KXvgZ9cKTF"
25,['1166712352416391170'],1166712352416391170,"Møde med Michel Barnier, EU’s Brexit chefforhandler. Stadig håb om aftale, men uhyggelig høj risiko for hard Brexit. 
En tragedie af Shakespeare’ske dimensioner, udløst af intern strid i et dysfunktionelt konservativ parti, som alle britter risikerer at betale for i årtier #dkpol https://t.co/BXBX2OdmVE"
26,['1164256528397930507'],1164256528397930507,"RT @rohde_jens: Og så er det, at vi alle skal slå ring om vores statsminister. Hun har håndteret en helt umulig situation til UG, så vi i d…"
