,edit_history_tweet_ids,id,text
0,['1542753514916544512'],1542753514916544512,"@KristofferMiles @djoef @SaraVergo siger, at kommissionen “burde have taget højde for konteksten”. Det HAR kommissionen gjort. Og det sagde de meget tydeligt i går. De har ovenikøbet lagt et forsigtighedsprincip ned over."
1,['1542752580480241664'],1542752580480241664,"RT @JensenChrje: Der er ingen vej udenom. Når en statsminister har handlet ’groft vildledende’, og hendes departementschef kan drages jurid…"
2,['1542749750356746240'],1542749750356746240,"RT @JoachimBOlsen: @radikale træk støtten til Schlüter på baggrund af en mindre alvorlig kritik af hans rolle i tamilsagen, end den Mette F…"
3,['1542746204391489537'],1542746204391489537,@JEOCPH @venstredk @DebattenDR2 Gerne👍🏻 Og også herfra tak for en god debat.
4,['1542565997147717633'],1542565997147717633,"Netop ankommet og får nu at vide, at også Enhedslisten har meldt fra."
5,['1542555716539539464'],1542555716539539464,"På vej i @DebattenDR2 om minkkommissionens beretning. Desværre har de fået en del afbud i løbet af dagen. Ærgerligt, ingen ministre eller folketingsmedlemmer fra SF, Radikale eller Socialdemokratiet kan komme. Så meget for den demokratiske samtale #dkpol"
6,['1542537842873798658'],1542537842873798658,"Kommisionen slår fast med syvtommersøm at statsministerens instruks var ulovlig og groft vildledende. Det må selvfølgelig have en konsekvens for Mette Frederiksen, for den der har magten, har også ansvaret. Det kan ikke være anderledes i en retsstat #dkpol"
7,['1542526144016093186'],1542526144016093186,"RT @olebirkolesen: Hvis rød blok virkelig har tænkt sig bare at ofre embedsmænd for de ulovligheder, som vi kalder minkskandalen, men friho…"
8,['1542525615642816513'],1542525615642816513,RT @christianfbach: Jeg overlader det trygt til den @radikale folketingsgruppe at tage stilling til konsekvenserne. Men finder det forunder…
9,['1542525420276371457'],1542525420276371457,"RT @Marchen_Neel: Friskt nok, at Enhedslisten fuldstændig freder statsminsteren, før de overhovedet har læst rapporten. Troede ellers det v…"
10,['1542432984699133952'],1542432984699133952,Så er Minkkommissionens beretning ankommet til Folketingets Granskningsudvalg. 9 bind. I alt 1.649 sider #dkpol https://t.co/cikLVx30hr
11,['1542404409103208449'],1542404409103208449,RT @MortenDahlin: Mette Frederiksens argument mod en advokatundersøgelse holder ikke vand. Vil anbefale alle i #dkpol at læse med her https…
12,['1542265073862938625'],1542265073862938625,"RT @berlingske: »Regeringens håndtering af FE-sagen har skabt usikkerhed om vores efterretningstjenester,« skriver @sophieloehde. 

#dkpol…"
13,['1541671739318538242'],1541671739318538242,"RT @MortenDahlin: Det er da en ommer? Uagtet politisk uenighed om ydelser, så kan det her da ikke være meningen. Så kan det jo slet ikke sv…"
14,['1540743286637203459'],1540743286637203459,"RT @SSTbrostrom: #HealthForAll &amp; #HumanRights requires access for all individuals to quality health care, including comprehensive abortion…"
15,['1539830286892113921'],1539830286892113921,RT @MBrgger: Endnu en ting hun ikke vil gå ind i … Mette Frederiksen anklagede medierne for at viderebringe forkerte oplysninger – men afvi…
16,['1538785070017875968'],1538785070017875968,"RT @TomJensen1966: Vi kan godt diskutere årsagerne til den tillidskrise, der martrer det danske folkestyre. Som S-politikere har gjort den…"
17,['1538780442127654912'],1538780442127654912,"RT @AndersFoghR: Én af Venstres, Danmarks og Europas helt store kæmper er gået bort. Han var skarp, fræk og vittig. Og gennem sine mere end…"
18,['1538780371499769856'],1538780371499769856,"RT @TomJensen1966: “Man siger, at Uffe Ellemann-Jensen var den bedste statsminister, Danmark aldrig fik. Omvendt er det ikke for meget at k…"
19,['1538434146212712450'],1538434146212712450,"Uffe Ellemann-Jensen
1941-2022 https://t.co/LIupoZVj1M"
20,['1538424290185564161'],1538424290185564161,"RT @venstredk: Uffe Ellemann-Jensen er død. Hvil i fred.

https://t.co/bHSJ14YiUC"
21,['1538128324337311744'],1538128324337311744,RT @marie_bjerre: Landets beskæftigelsesminister fortsætter sine desperate og frådende angreb på Venstres formand. Vildt at han ikke selv k…
22,['1538103696462172160'],1538103696462172160,"RT @EvaTingkaer: Det bedste ved folkemødet er, at de politiske debatter har mange nuancer og der er plads til ros mellem politikere. Det le…"
23,['1538032799243976704'],1538032799243976704,"RT @TomJensen1966: Statsministerens konstante, vilde og falske beskyldninger mod medierne har nu nået et niveau, der minder om noget. Et el…"
24,['1537365568642289665'],1537365568642289665,"Minkkommissionen har netop meddelt, at de afleverer deres beretning på et møde den 30. juni kl. 11.00 med Folketingets Granskningsudvalg. Herefter offentliggørelse #dkpol https://t.co/5zBRYdQ1vH"
25,['1537319377833537540'],1537319377833537540,"Hvor er det sigende, at Mette Frederiksen gemmer sig bag sine ministre og lader dem lave det beskidte arbejde. Kom nu frit frem og forklar om den her desperate S-smædekampagne styrker den demokratiske samtale og har Mette selv været med til sætte i værk? https://t.co/cnQMgs8Sc3"
26,['1536695405534236673'],1536695405534236673,RT @HansAndersenV: Regeringen sætter ydelserne  til arbejdsløse indvandrere op permanent. Løftebrud. #dkpol https://t.co/6r2zHT0k3l
27,['1536694834227970050'],1536694834227970050,RT @JakobEllemann: Mette Frederiksen lovede ikke at hæve ydelserne til arbejdsløse indvandrere. Nu gør hun det alligevel. Det er et klart l…
