,edit_history_tweet_ids,id,text
0,['1552267895715119104'],1552267895715119104,"@socevic Det er fuldstændig korrekt, at budskabet i mit opslag er den sidste sætning. Det glæder mig, at du læser så godt 👍"
1,['1552267545104760833'],1552267545104760833,@socevic @JoachimBOlsen Det er rimelig legendarisk at kalde styrketræningsfænomenet Joachim B Olsen for tyndarmet og udfordre ham til en styrketræningskonkurrence (som man naturligvis taber).
2,['1552266509447208960'],1552266509447208960,"@dobije @TribeCalledHest Nej. Så vil det for normalt begavede og normalt læsende mennesker forstås som bedre indenfor det emne, som samtalen handler om. https://t.co/RBStmX41KF"
3,['1552266180538286082'],1552266180538286082,@JensRingberg Han laver vel et par telefonopkald undervejs.
4,['1552265681881661442'],1552265681881661442,@TribeCalledHest Bedre til hvad?
5,['1552265517418807297'],1552265517418807297,@abir1206 Generaliseringer er nødvendige. Ellers kan man ikke have en samfundsdebat overhovedet.
6,['1552264360034181121'],1552264360034181121,"@Mohamed29343260 @MikkelH54488484 Ungarn er også et fint rejsemål, men jeg synes, Somalia var en større oplevelse :)"
7,['1552264162344058880'],1552264162344058880,"@JJSogaard Jeg gider ikke pakke mine budskaber ind i selvfølgeligheder, som alle er udmærket klar over."
8,['1552262554675810305'],1552262554675810305,@mzedeler @AminataCorr @BKonge @DavidTrads Det udsagn lader vi stå for sig selv.
9,['1552262403420733448'],1552262403420733448,"@abir1206 Du vil gerne forbyde, at jeg siger, at nordmænd er bedre til at blive integreret i Danmark end somaliere, fordi det er en generalisering? 

Samfundsdebatter består af generaliseringer. De er nødvendige for at kunne beskrive sammenhænge og mønstre i et samfund."
10,['1552260508224471040'],1552260508224471040,"@MikkelH54488484 @Mohamed29343260 Nej, jeg var der jo bare som turist. Der stod ikke ligefrem en rød løber klar i ørkenen :)"
11,['1552260067814170625'],1552260067814170625,"@Paddehat1 Tak for at belære os alle om noget, som vi alle godt ved."
12,['1552259871571148805'],1552259871571148805,@mzedeler @AminataCorr @BKonge @DavidTrads Ja: Statistik.
13,['1552257196494360578'],1552257196494360578,"@alexanderlindh2 @torbenmarkp Ja, og det er der intet galt i."
14,['1552256554484862977'],1552256554484862977,"@FlarupH Du kunne også lade være med at give medvind til ekstremister, som bevidst forsøger at fejludlægge ting for at gøre sig interessante."
15,['1552255914400485378'],1552255914400485378,"@EAgersnap @martinpaludan Mange tak for de spændende råd. Jeg agter fortsat ikke skrive hvert eneste svar til et svar på en måde, så selv David Trads kan forstå det. Det bliver for lavt niveau."
16,['1552255447784198146'],1552255447784198146,"@Mohamed29343260 Jeg mener, at jeg fik visum i Djibouti og husker det ikke som specielt svært. Jeg havde ikke nogen sikkerhedsvagter og kørte mest i taxa."
17,['1552254721154600962'],1552254721154600962,"@EBjerkrheim @DanielSatyr1 @MadsLaketown Ja, det fremgår ret tydeligt. https://t.co/OD7Pg7UTLd"
18,['1552251442756452354'],1552251442756452354,"@EAgersnap @martinpaludan Hvis skyld er det, at man læser tweetet uden kontekst? Jeg har ikke skrevet det uden kontekst, så hvordan kan det blive min fejl?"
19,['1552250731457036288'],1552250731457036288,"@torbenmarkp Man kan godt rangordne kultur udfra de parametre, man selv synes er vigtige, men det bliver i sagens natur meget subjektivt. Min pointe er, at der ikke er nogen objektiv skala at gøre det på. Nogle synes kvindeundertrykkelse er positivt, og for dem er det jo så den bedste kultur."
20,['1552250049249304578'],1552250049249304578,@JonChri5tensen @dkpolparrot Jeg har faktisk aldrig været på jordomrejse. Men jeg har da besøgt en del lande gennem tiden.
21,['1552249012606099457'],1552249012606099457,"@throwthesebands Jeg hader personligt Taliban, men jeg kender ikke til nogen objektiv skala, man kan stille det op på, nej. Men man kan godt slå fast, at talibanere ikke kan fungere i Danmark."
22,['1552247661536878598'],1552247661536878598,@EBjerkrheim @DanielSatyr1 @MadsLaketown Hvor tit bliver du anklaget for at være racist?
23,['1552247566972198917'],1552247566972198917,"På besøg i Somalia for ca ti år siden. Alle mennesker er lige meget værd, og man kan efter min mening ikke rangordne kultur. Men det kan ikke passe, at man efter 40 års integrationsdebat stadig skal kaldes racist, fordi man påpeger, at alle kulturer ikke integreres lige let i DK. https://t.co/SDbqiwqgYP"
24,['1552066157309460480'],1552066157309460480,"@EBjerkrheim Endnu en gang excellerer du i at tage et svar ud af kontekst, så ingen kan vurdere, om det skrevne er berettiget men udelukkende kommer til at reagere udfra sympatier og du kan piske en stemning op. Jeg synes, du har en ualmindelig dårlig debatstil."
25,['1552063753482633216'],1552063753482633216,"@MalthePeterse13 @VikingGte @Livetvarbedre Man omtaler ikke mine kollegaer som ""fissen"" på min væg. Lev med det eller find et andet sted. Det er ikke til debat."
26,['1552059664946401280'],1552059664946401280,"@Porsmose @VesterbroJacob @listighjort @frihedsbrevet Det er sådan noget vrøvl. En klovn har fundet et svar til et svar, som jeg har skrevet på 15 sekunder og har derefter taget det ud af kontekst og blæst det ud af proportion. Jeg forsøger at holde fri, men skal bruge tid på at forsvare mig mod at blive kaldt nazist af ekstremister"
27,['1552005351544967171'],1552005351544967171,"@sorenpind @henriksen78 @NPKolby Du har nogle udfald en gang i mellem, som er svære at forstå."
28,['1551990028804448258'],1551990028804448258,"@VikingGte @Livetvarbedre Du have en form for personlighedsforstyrrelse, når du tror jeg vil acceptere den slags kommentarer i mine tråde. Det blev så endnu en til blokeringslisten."
29,['1551983069514588165'],1551983069514588165,"@socevic Det er et fint billede af din overkrop, men kan du ikke holde mig udenfor?"
30,['1551981174540713986'],1551981174540713986,@RasmusBruun3 @KHegaard @CUttrupLudwig @Spolitik @JakobEllemann Det er for dårligt.
31,['1551978110870069254'],1551978110870069254,@Je5us420 @DavidTrads @24syv @StigGrenov @KDpolitik @GamPedersen @moderaterne_dk Det var en fejl. Beklager.
32,['1551954500197425152'],1551954500197425152,@DavidTrads @24syv @StigGrenov @KDpolitik @GamPedersen @moderaterne_dk Du virker desperat i din kamp for opmærksomhed.
33,['1551950587255816194'],1551950587255816194,"@Livetvarbedre Lad os være ærlige: Det er - heller ikke i dette tilfælde- derfor, du er blevet blokeret."
34,['1551923247331033090'],1551923247331033090,"@madsvolesen Jeg er overrasket over, at det er så lidt i betragtning af, hvor stort et løb, der er tale om. Havde nok gættet på en del mere."
35,['1551901991953174528'],1551901991953174528,@AndersKronborg Du siger ikke for meget.
