,edit_history_tweet_ids,id,text
0,['1277951415185440769'],1277951415185440769,"RT @berlingske: »Jeg har vænnet mig til at blive kaldt præmieperker – men det her gør mig vred«, skriver @Aliaminali_C, socialrådgiver og f…"
1,['1277817036048142336'],1277817036048142336,"RT @BjBrandenborg: Hør med i morgen når @RStoklund endnu engang udlægger Socialdemokratiets udlændingepolitik på rolig, saglig og overbevis…"
2,['1277631494983430144'],1277631494983430144,"RT @DavidTrads: Fremragende analyse af @KristianMadsen om, hvordan racismedebatten (præcist som klimadebatten) i den grad ses forskelligt a…"
3,['1277617466080997376'],1277617466080997376,Vigtigt 👇🏾 https://t.co/5eKIxIhXdw
4,['1277562638067695618'],1277562638067695618,"RT @RasmusBrygger: Facts til den aktuelle debat om efterkommeres succes på gymnasierne: 

Ikke-vestlige elever på gymnasiale uddannelser fi…"
5,['1277483934973132802'],1277483934973132802,"@BosseStine Alle sager bliver behandlet enkeltvis. Det er folks liv, det handler om. Så intet bunkebryllup her, naturligvis. Flygtningenævnet har adgang til masser af topkvalitets informationer fra hele verden - også fra NGO’er. Vi kan være stolte af vores uafhængige system i DK."
6,['1277467338250600448'],1277467338250600448,"RT @regeringDK: .@mattiastesfaye har besluttet at få genvurderet, om hundredevis af opholdstilladelser til flygtninge fra Damaskus kan indd…"
7,['1277467292331315206'],1277467292331315206,"@BosseStine Hej Stine. Hvad tænker du med “hjemmearbejde”? Flygtningenævnet er uafhængigt og jeg accepterer deres afgørelser uanset om de giver ophold eller afslag. Jeg er tryg ved, at de har lavet deres hjemmearbejde #dkpol"
8,['1277335266378874881'],1277335266378874881,"@jakobnielsen Hej. Nej. Vores udenrigspolitiske linje overfor Assad-regimet er ikke ændret. Her står vi sammen med Tyskland, Frankrig, UK, USA og andre. Og det samarbejder fastholder vi."
9,['1277324425013190659'],1277324425013190659,RT @politikdr: Tesfaye vil have hurtig vurdering af mulig hjemsendelse af syrere https://t.co/Erc78PG2Z3 https://t.co/LJUG6UXrlR
10,['1277321539139051525'],1277321539139051525,"Sidste år vendte næsten 100.000 flygtninge hjem til Syrien fra nærområderne. Jeg har nu bedt Udlændingestyrelsen om at hastevurdere om folk fra Damaskus-provinsen, der har fået asyl i Danmark, også kan vende hjem eller om de stadig har brug for beskyttelse https://t.co/lv78iUB4q0"
11,['1276930122155798531'],1276930122155798531,"@JM_Flensborg Hej Jørgen. Jeg må indrømme, at jeg ikke kender detaljerne i den konkrete sag. Men helt generelt kan jeg dog sige, at et meget bredt flertal står bag lempelige regler for det danske mindretal syd for grænsen. Vi har endda netop lempet reglerne yderligere."
12,['1276882749228494849'],1276882749228494849,"Jeg takker selvfølgelig for de venlige ord. Men må samtidig nok også erkende, at Venstre har bidraget godt til dansk udlændingepolitik gennem de seneste par årtier #dkpol https://t.co/p8026Y29wi"
13,['1276557618652286976'],1276557618652286976,RT @Frede_Vad: Stolt! Over 150 DSU’ere er tilmeldt årets Jobpatrulje. Frivillige ildsjæle bruger deres ferie på at gøre ungarbejdere opmærk…
14,['1276514401680580608'],1276514401680580608,"RT @Netavisen_Pio: Indespærring og overvågning er nogle af de ting, som gymnasieelever med indvandrerbaggrund kan blive udsat for. “Totalt…"
15,['1276513752960073728'],1276513752960073728,"RT @mattiastesfaye: @BosseStine Jeg er kun glad, hvis partier bakker op om vores hjemrejsepolitik. At få afviste asylansøgere hjem er en to…"
16,['1276513683569606656'],1276513683569606656,"@BosseStine Jeg er kun glad, hvis partier bakker op om vores hjemrejsepolitik. At få afviste asylansøgere hjem er en topprioritet. Det koster 300.000 kr./året at indkvartere en enkelt. Det samme som 800 hjemmehjælpstimer + overlevelsespakker til 600 børn tæt på konflikterne. #dkpol"
17,['1276455377861611521'],1276455377861611521,RT @DanJoergensen: Jeg har gæstet “Genstart”. Lyt med her...
18,['1276228843519594498'],1276228843519594498,"Jeg har idag opsagt en millionkontrakt med Dansk Flygtningehjælp. Nu skal den nye Hjemrejsestyrelse stå for at få afviste asylansøgere hjem. Det bliver en lidt mere fast hånd, der skubber mod lufthavnen #dkpol https://t.co/PoCBEDtUHn"
19,['1276228345005518849'],1276228345005518849,"RT @UIMinisteriet: .@mattiastesfaye opsiger kontrakt med Dansk Flygtningehælp om hjemrejserådgivning: “Der er brug for en mere fast hånd, n…"
20,['1276215512750530563'],1276215512750530563,RT @BennyEngelbrech: Aftale om genstart af luftfarten – vil redde arbejdspladser og sikre flyforbindelser i hele Danmark. Med et klart grøn…
21,['1276181911853989888'],1276181911853989888,Finansministeriets årlige undersøgelse af indvandringens økonomiske konsekvenser er udkommet #dkpol https://t.co/hsg3BFtRoN
22,['1276176836209397772'],1276176836209397772,RT @RStoklund: Virkeligheden på en almindelig dansk skole. Totalt uacceptabelt. Løsningen er ikke at piger skal holde sig hjemme - løsninge…
23,['1276076069062430721'],1276076069062430721,"RT @JeppeBruus: @MBrgger Præmissen for historien i @EkstraBladet er, at interessen for en Fyn-Als forbindelse er ny for @Spolitik Men hov..…"
24,['1275809152888160256'],1275809152888160256,@PSMIDTDK @Frede_Vad Domstolene kan godt vælge at frihedsberøve i grove tilfælde.
25,['1275808950961790979'],1275808950961790979,RT @Netavisen_Pio: ’Redegørelse om parallelsamfund’ gør status over hvordan det går med parallelsamfunds-initiativerne. Og den viser at det…
26,['1275808816467251200'],1275808816467251200,"RT @RasmusBrygger: (1/x)@TRM_dk har offentliggjort deres årlige redegørelse om parallelsamfund. @KaareDybvad konkluderer, at udviklingen gå…"
27,['1275797379510386691'],1275797379510386691,RT @bentclausendbu: DBU Get2 Fodboldskole sætter rekord med 1.400 børn fra udsatte boligområder på 21 skoler trods corona-krisen ✅👍 Tak til…
28,['1275797322123919360'],1275797322123919360,Hvorfor ikke? spørger @informeren - FORDI: Bønnekald fra minareter er anmassende. Tusindvis af danske muslimer praktiserer deres religion stille og roligt. De betragter islam som en personlig sag og fungerer godt i samfundet. Det skal provokationer fra imamer ikke ødelægge https://t.co/OpcifxbK6F
29,['1275660514400579592'],1275660514400579592,RT @RasmusJarlov: Kaster håndklædet i ringen for min sightseeingvirksomhed. Normalt 2500 bookinger marts-juni. I år præcis 0 (nul) pga.  lu…
30,['1275660289019719680'],1275660289019719680,"RT @askrost: Hatten (eller huen) af for borgmesteren i Thisted - sgu da meget godt gået!
#dkpol 
 https://t.co/qvIEnH3aNd"
31,['1275473249875394561'],1275473249875394561,"Folketinget har netop vedtaget dobbelt bødestraf til virksomheder, der ansætter udlændinge uden arbejdstilladelse #dkpol #arbejde  https://t.co/ggwtjoMgWm"
32,['1275403678762049547'],1275403678762049547,"RT @MarianneVind: What a sight! S&amp;D leading from East to West, North to South in Denmark 🌹🌞 #eudk #dkpol"
33,['1275394325757779968'],1275394325757779968,"RT @BjBrandenborg: Højere staf til virksomheder, der udnytter illegal arbejdskraft og endnu et kæmpe skridt i den rigtige retning for alle…"
34,['1275200508005879808'],1275200508005879808,@SandGronemann https://t.co/ej6fhgDiya
35,['1275124358357364739'],1275124358357364739,"RT @SandGronemann: Set på Facebook. Hvem der bare havde samme kreativitet som dem, der opfinder håndværker-slogans https://t.co/XVitwxeswG"
36,['1275003874701643776'],1275003874701643776,RT @Jesper_Pet: Konkret #dkpol-nyhed fra afslutningsdebatten: Venstre og @JakobEllemann dropper nu forslaget om halvering af momsen. Godt a…
37,['1274984968545079296'],1274984968545079296,RT @PHummelgaard: Så var den der igen fra @venstre i folketingssalen: “Socialdemokratiet vil sende raske mennesker på pension”. Det er symp…
38,['1274923068239032330'],1274923068239032330,@Ingemann84 https://t.co/43s89j8YSR
39,['1274795470364323840'],1274795470364323840,"Det er et halvt år siden, jeg har ønsket mig så brændende at være på Herning Stadion. Fuck, hvor jeg elsker fodbold #KSDH #ultratwitteragf https://t.co/cYVViU8XGQ"
40,['1274730827952402434'],1274730827952402434,"RT @rasmushorn: Spis nu lige brød til. Har absolut intet med udskamning at gøre 🙄 Det er saglig oplysning, som skal få flere til at blive t…"
41,['1274689386723057664'],1274689386723057664,;-) https://t.co/BXSVKjTS4M
42,['1274624392555872257'],1274624392555872257,RT @RStoklund: Tråd: Jeg er glad for @berlingske i dag lader mig svare på lederen @metteoestergard forleden signerede under overskriften “V…
43,['1274617258044731394'],1274617258044731394,"RT @RasmusBrygger: Danmarks Videnscenter for Integration er #NyPåTwitter. Gå ind og smid @videnscenteret et følg #dkpol  
https://t.co/pcAy…"
44,['1274609618304618496'],1274609618304618496,Kampdag! #KSDH #ultratwitteragf https://t.co/LNPnzWwA4D
45,['1274587589333471233'],1274587589333471233,"RT @RasmusBrygger: Så er der ny Medborgerskabsundersøgelse. Ministeriet konkluderer, at ligestillingen og tilknytning til Danmark er høj, o…"
