,edit_history_tweet_ids,id,text
0,['1385506825488019457'],1385506825488019457,"En forældet reform fra 1969 - tjenestemandsreformen - placerede traditionelle “kvindefag” lavere i lønhierakiet, fordi kvinders indkomst blev betragtet som biindtægt i husstanden. Det er vist på tide at gøre op med det ligestillingssyn her i 2021. #dkpol @radikale https://t.co/4oOY7OmCiX"
1,['1385297454321524741'],1385297454321524741,@a_steenberg @DebattenDR2 🔥💪🏼
2,['1384898710635692033'],1384898710635692033,"Så Assads general vurderer, at der er sikkert i Syrien.. resten af kilderne har undsagt rapporten og fordømmer regeringens beslutning om udvisningerne. #dkpol

https://t.co/qHZyFBfBGk"
3,['1384616220377243651'],1384616220377243651,"Guilty!
https://t.co/uGoFss4Yn7"
4,['1384510818709131265'],1384510818709131265,@FOLA_DK Tak for svar👍🏼
5,['1384508774942232577'],1384508774942232577,"RT @RohlChristopher: Vi vil gøre Kbh til Europas bedste studieby!

Det kræver vi løser #UngdomsfjendskBoligmarked. Skriver med @SamiraNawa…"
6,['1384102831112687631'],1384102831112687631,RT @Sygeplejeraadet: Tak til @radikale og @SamiraNawa for gode spørgsmål til den kommende debat om Tjenestemandsreformen. Bla. hvorfor er l…
7,['1382987911101038594'],1382987911101038594,"RT @JorgeMads: Jeg skal lige være med. 

AstraZeneca: Farligt. 
Syrien: Sikkert. 

Er det korrekt forstået?"
8,['1382981397267234821'],1382981397267234821,Mere og hurtigere genåbning på vej - der er i den grad forår og frihed i luften 🌱🕊 #dkpol @radikale
9,['1382055145211564039'],1382055145211564039,"RT @karolinenoehr: Clickbait i bedste @politiken stil. Læs med her, hvis du også bare er nødt til at vide, hvad der så skete: https://t.co/…"
10,['1381874351838990337'],1381874351838990337,RT @plauritsen: Hvad mente Viggo Hørup om demokrati og politik? Hvorfor ville han erobre dannelsen? Og er hans gamle tanker overhovedet rel…
11,['1381672522895273989'],1381672522895273989,"Ramadanen og fasten står for døren. Endnu engang i coronaens skygge, så ramadanmiddage med venner og familie bliver der ikke meget af. Næste år bliver det forhåbentlig ganske anderledes. Med ønske om en god #Ramadan  
#dkpol #ramadankareem"
12,['1381338077411565575'],1381338077411565575,@lassefrom Nurh 😍
13,['1381226726311800833'],1381226726311800833,"Jeg har sat en række vidende @radikale stævne til samtaler om, hvad der har formet mit parti. Om vores ideologiske fundament og værdigrundlag. Og om principfastheden over for pragmatismen. @plauritsen @RuneRadikal Bjørn Elmquist Marianne Jelved m.fl #dkpol
https://t.co/Zwj3boRVZL"
14,['1380859460466393089'],1380859460466393089,"Danmarksgården er en ungdomsroman skrevet i store typer &amp;med masser af luft på siderne. Sproget indeholder ord som habez, fætzki &amp;akrash. Jeg r ikke målgruppen, men slugte den på 1 time😊Håber den får flere unge t at interessere sig for litteratur. Tillykke med bogen, @aka_TBA 🙌🏼 https://t.co/zOF17UyoGv"
15,['1380486444536455173'],1380486444536455173,"Tak for snakken - vi kom vidt omkring; #metoo, diskrimination og epidemilov. Tror begge vi havde gjort klar til større uenigheder end det viste sig at være tilfældet 😉 #dkpol #samtale https://t.co/ubXHjAgB3i https://t.co/izVnMxA1Vj"
16,['1380172885973729286'],1380172885973729286,Godt at fejl anerkendes og der arbejdes hurtigt på at rette op. https://t.co/uDLe4wLZRh
17,['1380097131273408514'],1380097131273408514,@harundemirtasdk @stephanie_lose @SophieHAndersen Tak fordi du har gjort det!🙏🏼Jeg er først nu blevet bekendt med det - og synes det er vanvittigt!
18,['1380081512209596418'],1380081512209596418,"Og hvis man ligesom jeg har svært ved at tro sine egne øjne, så slå op på side 10 i denne folder til gravide:

https://t.co/xTVY05M2wh"
19,['1380080986038358016'],1380080986038358016,"Undskyld sproget; men what the actual fuck!? 🤬 Hvordan er det overhovedet lovligt? Og er det her almindelig praksis i regionerne, @stephanie_lose!? #dkpol #ligestilling @SophieHAndersen https://t.co/eVv5Z8fELJ"
20,['1379395079480209409'],1379395079480209409,"En stor del af den diskrimination og mobning der foregår på arbejdsmarkedet sker pba køn og etnicitet. Det skal handles: Arbejdstilsynet skal have fokus på netop dette og vi skal have en national handlingsplan mod diskrimination og racisme #dkpol @radikale
https://t.co/SmVYAO89m9"
21,['1379135960647135234'],1379135960647135234,"Jens-Peter var en vidende og rar mand. Tak for samtalerne; jeg blev blandt andet klogere på mit oprindelsesland igennem de beretninger om Afghanistan, som han delte med mig. Må han hvile i fred ❤️ #dkpol #eupol 

https://t.co/1Km7YuIErm"
22,['1375725192975122433'],1375725192975122433,https://t.co/3QV8NHq218
23,['1375722207104622593'],1375722207104622593,"Dansk Landbrug skal udvikles. Drivhusgasserne skal nedbringes med 50% i 2030 gennem udtagning af lavbundsjorde, flere plantebaserede fødevarer og ny teknolog 💪🏼 🌱@SFpolitik @radikale #dkpol @PiaOlsen @sofiecn"
24,['1375553186329673730'],1375553186329673730,RT @sofiecn: Læs om den finske model. Uanset hvad man mener i øvrigt. Det er farligere at lade dem blive. Også derfor skal de danske børn u…
25,['1375415139676082179'],1375415139676082179,"RT @PilouAsbaek: Vi er er ved at begå noget, vi ikke bør begå. Nemlig at lade børnene være ofre for forældrenes fejltagelser og forbrydelse…"
26,['1375162265796808710'],1375162265796808710,@pelledragsted @Gyldendal Sejt Pelle - tillykke med bogen 😊👏🏼
27,['1375129566759518213'],1375129566759518213,@AgiCsonka Det var i hvert fald nogle søde og dygtige ambassadører jeg havde på besøg 😁
28,['1375100209634672641'],1375100209634672641,Ingen f***-fingre - kun masser af gode spørgsmål og debat. Tak for besøget til 1.r fra Greve Gymnasium 😁☀️ #dkpol https://t.co/rQfwq71P9U
29,['1374617329313705986'],1374617329313705986,"Det er egentlig ret simpelt. Ud fra et menneskeligt perspektiv skal børnene hjem. Ud fra et sikkerhedsperspektiv skal børnene hjem. Og mødrene også - de skal retsforfølges og dømmes for deres handlinger. Sådan gør en retsstat nemlig. #dkpol @radikale 
https://t.co/EEA6KKYRMx"
30,['1374057575268900865'],1374057575268900865,@RasmusJarlov Stort tillykke 😊❤️
31,['1373766198081560580'],1373766198081560580,"@HeidiMl20341053 @ThomasTageH @FaktaHoldninger @JBahrentz @LiberalAlliance Præcis! Det er egentlig ret vildt at tænke på, hvordan vi på forhånd har dømt dem alle for landsforræderi -  uden at de har været stillet for en dommer. Ikke en retsstat værdigt."
32,['1373709396287574021'],1373709396287574021,@Lmegaard @radikale Tak for opbakning! Jeg håber på politisk vilje til at igangsætte som forsøgsordning. Det kunne være rigtig spændende at se hvilke resultater der ville komme ud af det.
33,['1373689734686461952'],1373689734686461952,"RT @MtnTeit: Spændende ide - at få data for urimelige og uhensigtsmæssige aldersfordomme. Folkepensionsalder stiger mod 70, så det med “50…"
34,['1373544423066324992'],1373544423066324992,"“Vores nation hviler på en tro på, at alle statsborgere – uanset hvor de er født og af hvem – fortjener en lige og fair chance.” @JensenChrje #dkpol https://t.co/FYTXwijL3v"
35,['1373385927989604352'],1373385927989604352,@DavidWilliamsDK @LiberalAlliance Jeg stopper når vi ikke længere gambler med danske børns ve og vel. Og jeg stopper når vi ikke længere gambler med nationens sikkerhed.
36,['1373384878516015104'],1373384878516015104,"RT @DMCamilla: Seniorer omtales negativt /fravælges til job, samtidig med at de skal høre på floskler om gråt guld. 🤯
Stop aldersdiskrimina…"
