,edit_history_tweet_ids,id,text
0,['1418468077021409281'],1418468077021409281,RT @Kirstineholst: Tak til @P1Morgen for at sætte kæmpe fokus på løsninger og gerningsmandsundersøgelser i morgenens program om #dajegsagde…
1,['1418443939158368258'],1418443939158368258,@Kirstineholst @MF_K_Lorentzen @KHegaard @JeppeBruus @MadsAndersenC @skaarup_df Ja da. Som du nok ved har vi i @Enhedslisten arbejdet for det længe
2,['1418443619963375616'],1418443619963375616,"@mormedmening @KHegaard @MF_K_Lorentzen @Kirstineholst Ja! Har foreslået det flere gange, også i forbindelse med samtykkeloven. Taler om det i @P1radio om små tyve min 💪🏻"
3,['1415730541022830594'],1415730541022830594,@BayMads @AkselLeth @KHegaard @radikale @PSkipperEL Og at i skal erkende at i blev advaret. Det stod i høringssvarene. @PSkipperEL sagde det i sin tale.
4,['1415716025472061443'],1415716025472061443,@KHegaard @radikale Men det blev forudset. I blev advaret. Se fx @PSkipperEL tale fra lovbehandlingen og institut for menneskerettigheders høringssvar. Det ville klæde jer at erkende at i begik en kæmpe fejl og ignorerede advarslerne
5,['1415713150045937666'],1415713150045937666,@KHegaard @radikale Jep. Jeg er så glad for i har ændret holdning. Det betyder at der er håb for at de andre aftalepartier gør det samme
6,['1415712337240199172'],1415712337240199172,Dejligt at @radikale kalder dagens afgørelse i Flygtningenævnet for sund fornuft. Det var IKKE sund fornuft da samme parti støttede den lov der gør at syrere i dag overhovedet kan udvises #dkpol
7,['1415707889939980289'],1415707889939980289,@ThiasKronhjort Udlændingelovens paragraf 7.3 som er den der betyder at syrer mister deres opholdstilladelser
8,['1415706782689804289'],1415706782689804289,Nyborg gymnasium ❤️ #afskaf7.3 #dkpol
9,['1413170984572669956'],1413170984572669956,Krammeministeren ❤️❤️❤️❤️❤️ https://t.co/zUXrKEatTa
10,['1412913910018101251'],1412913910018101251,"RT @FCBarcelona: 💪 Proud of you, @martinbraith! 🇩🇰 https://t.co/TE5VZQDNs9"
11,['1412911100102852608'],1412911100102852608,"RT @Marchen_Neel: Jeg synes, de fortjener en tur på rådhusbalkonen uanset hvad!!! Kom så @koebenhavner !"
12,['1412909424264503297'],1412909424264503297,"I øvrigt: jeg er færdig med EM. Lorte UEFA, lorte dommer... held og lykke til Italien"
