,edit_history_tweet_ids,id,text
0,['1564974613137952769'],1564974613137952769,"Glæder mig til søndag. Danskerne skal vide, hvad de får med de tre forskellige statsministerkandidater. DK har brug for en ny borgerlig-liberal regering, som vil føre en økonomisk ansvarlig politik, sætte tryk på den grønne omstilling og udvikle velfærden. https://t.co/auYgnYvhVA"
1,['1556342928880140288'],1556342928880140288,"Danskerne drømmer om at bo i ejerbolig. Men udviklingen går den forkerte vej. Det vil Venstre lave om. Vi kommer nu med et visionært boligudspil, som skal give flere danskere mulighed for at få en ejerbolig. At eje sin egen bolig giver frihed og ansvar. https://t.co/7n2n1OqUR2"
2,['1543675678238904321'],1543675678238904321,"Forfærdeligt angreb i Fields. Mine tanker går til de sårede og de dræbte og deres pårørende. Tak til politiet, myndigheder og alle andre, som hjælper ved denne tragiske hændelse."
3,['1536667473327554561'],1536667473327554561,"Mette Frederiksen lovede ikke at hæve ydelserne til arbejdsløse indvandrere. Nu gør hun det alligevel. Det er et klart løftebrud. I Venstre vil vi hellere lade folk, der går på arbejde beholde flere af deres egne penge. For det skal altid kunne betale sig at arbejde."
4,['1533448893622587392'],1533448893622587392,"Regeringens tvangsfordeling af gymnasieelever efter forældrenes indkomst skal rulles tilbage, når vi får en ny borgerlig regering. Jeg ønsker et samfund, hvor danskere får mere frihed til at bestemme over deres eget liv. 
https://t.co/lNOxb5BVuD"
5,['1533376746065645570'],1533376746065645570,"Vi samarbejder gerne bredt, men meldingen fra Mette Frederiksen er  ikke troværdig, og ikke hvad DK har brug for. Vi har brug for en ny borgerlig regering, som vil føre en ansvarlig økonomisk politik, sætte tryk på den grønne omstilling og som har tillid til danskerne."
6,['1531964256903626754'],1531964256903626754,"@VilasHJensen Alt forladt. Jeg har jo også nævnt det et par gange, og helt sikkert ikke for sidste gang… 🫡"
7,['1526197481737969665'],1526197481737969665,"Historisk og vigtigt, at Sverige nu er klar til at ansøge om NATO medlemskab. Venstre støtter fuldt op om deres og Finlands ønske om at tage et ansvar for vores fælles sikkerhed. Jeg opfordrer til en hurtig proces, så vi snarest muligt kan byde dem velkommen! 🇩🇰🇫🇮🇸🇪"
8,['1524648675313692674'],1524648675313692674,"100% opbakning til Finlands ønske om at træde ind i NATO. Når verden bliver mere usikker, skal vi styrke den frie verdens alliancer og fællesskaber."
9,['1518322472390737921'],1518322472390737921,"Tillykke til Emmanuel Macron med valget. I en usikker tid er det vigtigt, at Frankrig har valgt en præsident, der bakker fuldtonet op om det europæiske samarbejde. Jeg håber, at han lykkes med at samle et splittet Frankrig."
10,['1517763423777529856'],1517763423777529856,"Kære @AlexVanopslagh og hele @LiberalAlliance. Tak for et godt samarbejde i Folketinget. Jeg håber I får et fremragende landsmøde i dag, og jeg ser frem til at diskutere jeres konkrete ideer til, hvordan vi skaber et Danmark med mere frihed og flere muligheder."
11,['1516327144527478790'],1516327144527478790,"Gode ambitioner, men få konkrete svar fra regeringen. Venstres ambition er at gøre Danmark uafhængig af russisk gas og sætte fart på en ansvarlig grøn omstilling. Energi- og klimapolitik er sikkerhedspolitik. Lad os komme i gang med forhandlingerne og sætte handling bag ordene."
12,['1510389690238742536'],1510389690238742536,"We cannot turn our backs to the images from Bucha. These are violations of international law, listed as war crimes. We cannot let those who perpetrated such unspeakable violence against civilians escape justice."
