,edit_history_tweet_ids,id,text
0,['1505052185826148356'],1505052185826148356,"RT @hrmarcussen: Hej @BilleHermann. Jeg ser at FN enstemmigt har vedtaget, at 15 marts. skal være international “bekæmp islamofobi” dag. Vi…"
1,['1504735586241990673'],1504735586241990673,"Er der nogen, der ved, hvorfor en hel masse mennesker er begyndt at skrive Kyiv - og ikke Kiev, som man ellers plejer? Er det lidt lige som Beijing i stedet for Peking?? PS: Hedder hunden egentlig nu en beijingeser? Og spiser man nu Beijingand? Hjælp min uvidenhed!"
2,['1504574351663935488'],1504574351663935488,RT @Schwarzenegger: I love the Russian people. That is why I have to tell you the truth. Please watch and share. https://t.co/6gyVRhgpFV
3,['1504008464951091200'],1504008464951091200,"Unionisten Uffe Ellemann langer ud efter DF: ""Forbandet sludder"". ""Vi har ikke tid til deres pjat længere"". ""Messerschmidt skulle skamme sig"". Ha-ha-ha... Uffe er allerede i vild panik op til 1. juni. Jo mere, han sprutter, desto flere ""nej""er ruller ind på kontoen. Tak, Uffe https://t.co/47ZlPSuh0M"
4,['1503673365105713155'],1503673365105713155,RT @Hjemmevaernet: Marinehjemmeværnet fylder 70 år. Ud over at eftersøge og redde personer til søs var kerneopgaven fra Marinehjemmeværnets…
5,['1503507860222840835'],1503507860222840835,Den slags bryder jeg mig bestemt ikke om…/ Ukendte gerningsmænd har malet hagekors og z-tegn på den russisk-ortodokse kirke i Bre https://t.co/VOJW610AD2
6,['1503372860458479620'],1503372860458479620,https://t.co/9R1et8pXXl
7,['1502544515202179072'],1502544515202179072,"1. juni... Mette F. og de andre unionister fortæller os, at det med forbeholdet faktisk ikke betyder noget som helst og at alt er som før. Men hvorfor dælen skal vi så ulejlige os hen for at stemme - og hvorfor dælen skal skatteyderne bruge masser af millioner på afstemningen? https://t.co/nRr4MrYSAR"
8,['1502406072144957442'],1502406072144957442,"RT @mfMorten: 🇩🇰🤝🇸🇪
Russiske fly krænker både dansk og svensk luftrum. Det hører ingen steder hjemme. Derfor træner danske og svenske kampf…"
9,['1502328616964833285'],1502328616964833285,"RT @DanielssonRene: Ønsker man ikke at danske soldater skal turnere Afrika tyndt med 🇪🇺 på skulderen, og være medfinansierende til militære…"
10,['1502328501223018501'],1502328501223018501,"RT @Hjemmevaernet: Vidste du, at de frivillige soldater i Hjemmeværnet gennemgår en grunduddannelse på min. 250 timer, før de kan løse opga…"
11,['1502228759977549824'],1502228759977549824,"RT @forsvaretdk: Hovedstyrken af de 200 soldater fra @forsvaretdk, der skal indgå i NATOs fremskudte tilstedeværelse, er nu landet i Estlan…"
12,['1502228605249667072'],1502228605249667072,"RT @DKAMBinEstonia: Our 🇩🇰 soldiers are on their way to 🇪🇪 Estonia. I look forward to receiving them here today. 🤝 @forsvaretdk 
#WeAreAlli…"
13,['1502038361632088066'],1502038361632088066,"RT @CorduaSteno: UGENS FIDUSBAMSE går til @JMchangama, for sit forsvar for den ubegrænsede ytringsfrihed og kritik af EU's forslag om at lu…"
14,['1501439335442395139'],1501439335442395139,"RT @IDF: Meet Major Ella Waweya.

She is the highest-ranking Muslim Arab woman in the IDF and the Deputy IDF Spokesperson for Arabic media.…"
15,['1500932629012615169'],1500932629012615169,Hjerteligt tillykke! S🇩🇰😄🇩🇰 https://t.co/jVoWax7bPO
16,['1500800211245047811'],1500800211245047811,"Trods mange ihærdige anstrengelser lykkedes det mig aldrig helt at få en god nordjysk bekendt af mig til at forstå det dér med Kvindernes Internationale Kampdag. Han mente, at Mors Dag var så rigeligt...😕"
17,['1500562639575199744'],1500562639575199744,"RT @flydtkjaer: Vi skal styrke det danske forsvar og bakke fuld op om NATO, men forsvarsforbeholdet skal vi ikke af med. NATO er vejen frem…"
18,['1500562610193932288'],1500562610193932288,"RT @KofodPeter: Klart JA til flere penge til Forsvaret.
Klart NEJ til at afskaffe forsvarsforbeholdet. 
#dkpol"
19,['1500562191069724677'],1500562191069724677,"Forargeligt og stridende mod det, som forsvarsforligskredsen har været i umindelige tider https://t.co/zBKRtalobZ"
20,['1500561770443849736'],1500561770443849736,"RT @Kristianthdahl: Trist at partier, der aldrig har ønsket eu-forbeholdene, nu vil bruge en rigtig forfærdelig baggrund med krig i Europa…"
21,['1500561714747781122'],1500561714747781122,RT @MrMesserschmidt: Danmarks frihed rimer på NATO - ikke på EU! Tværtimod vil mange i EU bruge fælles forsvar til at distancere sig fra US…
22,['1500561687149256705'],1500561687149256705,"RT @ReneChr67108814: Danmark sender danskere i krig, hvis det er nødvendigt. Det skal ikke være EU. Folketinget skal ikke udvandes, danske…"
23,['1500561636003827724'],1500561636003827724,"RT @MortenDreyerDF: Skal danske soldater kunne sættes under kommando af en rumænsk general ?

Nej til at afskaffe Forsvars forbeholdet. htt…"
24,['1500530622690902026'],1500530622690902026,"RT @DKAMBinEstonia: Pleasure to meet MajGen Jens H. Garly, @Hjemmevaernet on his visit to Tallinn to renew cooperation agreement with Eston…"
